#
#  yeastcyc 22.6 Reactions link table generated on Tue Nov 20, 2018
#
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
ADENPHOSPHOR-RXN	EC-2.4.2.1
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
ADENOSINE-KINASE-RXN	EC-2.7.1.20
ADENODEAMIN-RXN	EC-3.5.4.4
ADENINE-DEAMINASE-RXN	EC-3.5.4.2
ADCLY-RXN	EC-4.1.3.38
ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN	EC-1.1.1.101
ACYLCOASYN-RXN	EC-6.2.1.3
ACYL-COA-HYDROLASE-RXN	EC-3.1.2.20
ACSERLY-RXN	EC-2.5.1.47
ACONITATEHYDR-RXN	
ACONITATEDEHYDR-RXN	
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
ACETYLGLUTKIN-RXN	EC-2.7.2.8
ACETYL-COA-HYDROLASE-RXN	EC-3.1.2.1
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
ACETOOHBUTSYN-RXN	EC-2.2.1.6
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
ACETOLACTSYN-RXN	EC-2.2.1.6
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
6PGLUCONOLACT-RXN	EC-3.1.1.31
6PFRUCTPHOS-RXN	EC-2.7.1.11
6-PHOSPHOFRUCTO-2-KINASE-RXN	EC-2.7.1.105
5.99.1.3-RXN	EC-5.99.1.3
5.99.1.2-RXN	EC-5.99.1.2
5.3.4.1-RXN	EC-5.3.4.1
5.3.1.23-RXN	EC-5.3.1.23
5.1.1.18-RXN	EC-5.1.1.18
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC-2.4.2.28
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
4.3.1.17-RXN	EC-4.3.1.17
4.3.1.16-RXN	EC-4.3.1.16
4.2.99.18-RXN	EC-4.2.99.18
4.1.1.80-RXN	EC-4.1.1.80
4.1.1.74-RXN	EC-4.1.1.74
4.1.1.72-RXN	EC-4.1.1.72
4-NITROPHENYLPHOSPHATASE-RXN	EC-3.1.3.41
3PGAREARR-RXN	EC-5.4.2.12
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
3.6.4.4-RXN	EC-3.6.4.4
3.6.1.52-RXN	EC-3.6.1.52
3.5.5.1-RXN	EC-3.5.5.1
3.5.1.52-RXN	EC-3.5.1.52
3.4.25.1-RXN	EC-3.4.25.1
3.4.24.64-RXN	EC-3.4.24.64
3.4.24.59-RXN	EC-3.4.24.59
3.4.24.57-RXN	EC-3.4.24.57
3.4.24.37-RXN	EC-3.4.24.37
3.4.23.41-RXN	EC-3.4.23.41
3.4.23.35-RXN	EC-3.4.23.35
3.4.23.25-RXN	EC-3.4.23.25
3.4.22.40-RXN	EC-3.4.22.40
3.4.21.81-RXN	EC-3.4.21.81
3.4.21.61-RXN	EC-3.4.21.61
3.4.21.48-RXN	EC-3.4.21.48
3.4.21.105-RXN	EC-3.4.21.105
3.4.19.12-RXN	EC-3.4.19.12
3.4.16.6-RXN	EC-3.4.16.6
3.4.16.5-RXN	EC-3.4.16.5
3.4.14.4-RXN	EC-3.4.14.4
3.4.14.1-RXN	EC-3.4.14.1
3.4.11.21-RXN	EC-3.4.11.21
3.4.11.18-RXN	EC-3.4.11.18
3.4.11.13-RXN	EC-3.4.11.22	EC-3.4.11.13
3.2.2.21-RXN	EC-3.2.2.21
3.2.1.84-RXN	EC-3.2.1.84
3.2.1.6-RXN	EC-3.2.1.6
3.2.1.58-RXN	EC-3.2.1.58
3.2.1.48-RXN	EC-3.2.1.26	EC-3.2.1.48
3.2.1.33-RXN	EC-3.2.1.33
3.2.1.26-RXN	EC-3.2.1
3.2.1.24-RXN	EC-3.2.1.24
3.2.1.14-RXN	EC-3.2.1.14
3.2.1.106-RXN	EC-3.2.1.106
3.2.1.101-RXN	EC-3.2.1.101
3.1.4.37-RXN	EC-3.1.4.37
3.1.4.2-RXN	EC-3.1.4.2
3.1.4.17-RXN	EC-3.1.4.17
3.1.4.11-RXN	EC-3.1.4.11
3.1.3.76-RXN	EC-3.1.3.76
3.1.3.68-RXN	EC-3.1.3.68
3.1.3.67-RXN	EC-3.1.3.67
3.1.3.62-RXN	EC-3.1.3.62
3.1.3.56-RXN	EC-3.1.3.56
3.1.3.46-RXN	EC-3.1.3.46
3.1.27.9-RXN	EC-4.6.1.16
3.1.27.1-RXN	EC-3.1.27.1
3.1.26.5-RXN	EC-3.1.26.5
3.1.26.4-RXN	EC-3.1.26.4
3.1.26.3-RXN	EC-3.1.26.3
3.1.26.11-RXN	EC-3.1.26.11
3.1.22.4-RXN	EC-3.1.22.4
3.1.13.4-RXN	EC-3.1.13.4
3.1.11.2-RXN	EC-3.1.11.2
3.1.1.69-RXN	EC-3.5.1.89
3.1.1.23-RXN	EC-3.1.1.23
3-ISOPROPYLMALISOM-RXN	
3-ISOPROPYLMALDEHYDROG-RXN	
3-HYDROXY-KYNURENINASE-RXN	EC-3.7.1.3
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
3-ETHYLMALATE-SYNTHASE-RXN	EC-2.3.3.7
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	EC-1.1.1.102
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
2TRANSKETO-RXN	EC-2.2.1.1
2PGADEHYDRAT-RXN	EC-4.2.1.11
2OXOGLUTARATEDEH-RXN	EC-1.2.1
2.8.3.9-RXN	EC-2.8.3.9
2.8.1.6-RXN	EC-2.8.1.6
2.7.8.15-RXN	EC-2.7.8.15
2.7.8.11-RXN	EC-2.7.8.11
2.7.7.15-RXN	EC-2.7.7.15
2.7.7.14-RXN	EC-2.7.7.14
2.7.7.13-RXN	EC-2.7.7.13
2.7.7.1-RXN	EC-2.7.7.1
2.7.4.24-RXN	EC-2.7.4.24
2.7.13.3-RXN	EC-2.7.13.3
2.7.1.68-RXN	EC-2.7.1.68
2.7.1.160-RXN	EC-2.7.1.160
2.7.1.154-RXN	EC-2.7.1.154
2.7.1.153-RXN	EC-2.7.1.153
2.7.1.152-RXN	EC-2.7.4.21
2.7.1.151-RXN	EC-2.7.1.151
2.7.1.150-RXN	EC-2.7.1.150
2.7.1.149-RXN	EC-2.7.1.149
2.7.1.127-RXN	EC-2.7.1.127
2.7.1.121-RXN	EC-2.7.1.121
2.6.1.7-RXN	EC-2.6.1.7
2.6.1.58-RXN	EC-2.6.1.58
2.6.1.57-RXN	EC-2.6.1.57
2.6.1.28-RXN	EC-2.6.1.28
2.5.1.58-RXN	EC-2.5.1.58
2.5.1.19-RXN	EC-2.5.1.19
2.4.1.83-RXN	EC-2.4.1.83
2.4.1.232-RXN	EC-2.4.1.232
2.4.1.198-RXN	EC-2.4.1.198
2.4.1.142-RXN	EC-2.4.1.142
2.4.1.141-RXN	EC-2.4.1.141
2.4.1.117-RXN	EC-2.4.1.117
2.3.1.97-RXN	EC-2.3.1.97
2.3.1.42-RXN	EC-2.3.1.42
2.3.1.23-RXN	EC-2.3.1.23
2.3.1.158-RXN	EC-2.3.1.158
2.3.1.155-RXN	EC-2.3.1.155
2.1.1.71-RXN	EC-2.1.1.71
2.1.1.62-RXN	EC-2.1.1.62
2.1.1.59-RXN	EC-2.1.1.59
2.1.1.34-RXN	EC-2.1.1.34
2.1.1.19-RXN	EC-2.1.1.19
2.1.1.17-RXN	EC-2.1.1.17
2.1.1.125-RXN	EC-2.1.1.321
2.1.1.114-RXN	EC-2.1.1.114
2.1.1.100-RXN	EC-2.1.1.100
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	EC-2.6.1.39
1TRANSKETO-RXN	EC-2.2.1.1
13-BETA-GLUCAN-SYNTHASE-RXN	EC-2.4.1.34
1.8.98.2-RXN	EC-1.8.98.2
1.8.5.1-RXN	EC-1.8.5.1
1.5.1.7-RXN	EC-1.5.1.7
1.5.1.20-RXN	EC-1.5.1.20
1.5.1.15-RXN	EC-1.5.1.15
